形态日期,股票代码,股票名称,D0(0825)成交量(股),D1(0826)开盘价,D1(0826)收盘价,D1(0826)最高价,D1(0826)成交量(股),D2(0827)最高价,D2(0827)最低价
20260827,000721,西安饮食,18277700.0,6.75,6.97,7.36,46529200.0,6.97,6.75
20260827,000898,鞍钢股份,29553300.0,2.02,2.07,2.08,49213300.0,2.08,2.03
20260827,000932,华菱钢铁,61604900.0,3.65,3.74,3.75,108099500.0,3.74,3.64
20260827,002372,伟星新材,8940900.0,8.49,8.68,8.8,14162300.0,8.68,8.49
20260827,600157,永泰能源,270208400.0,1.57,1.59,1.6,494784800.0,1.6,1.57
20260827,600307,酒钢宏兴,25553000.0,1.45,1.48,1.49,50565500.0,1.49,1.46
20260827,600452,涪陵电力,14695700.0,9.12,9.23,9.33,26660900.0,9.23,9.12
20260827,600567,山鹰国际,54585900.0,1.34,1.36,1.37,104297700.0,1.36,1.34
20260827,601390,中国中铁,67857600.0,4.38,4.46,4.48,106458700.0,4.46,4.38
20260827,601618,中国中冶,65282500.0,2.59,2.64,2.65,114493700.0,2.64,2.6
20260827,603323,苏农银行,37416500.0,4.25,4.36,4.37,86633100.0,4.37,4.26
