形态日期,股票代码,股票名称,D0(0811)成交量(股),D1(0812)开盘价,D1(0812)收盘价,D1(0812)最高价,D1(0812)成交量(股),D2(0813)最高价,D2(0813)最低价
20260813,000002,万  科Ａ,81299300.0,3.21,3.33,3.36,210536500.0,3.34,3.22
20260813,000069,华侨城Ａ,38191400.0,1.83,1.88,1.9,62531400.0,1.88,1.82
20260813,000564,供销大集,154081900.0,1.44,1.47,1.48,246797300.0,1.48,1.43
20260813,000797,中国武夷,15449100.0,2.41,2.49,2.5,31575600.0,2.5,2.41
20260813,002314,南山控股,20999700.0,2.16,2.21,2.24,40710800.0,2.22,2.15
20260813,002936,郑州银行,53085500.0,1.76,1.78,1.79,97152900.0,1.78,1.76
20260813,300350,华鹏飞,8508900.0,4.37,4.45,4.47,13307200.0,4.45,4.36
20260813,600022,山东钢铁,66544900.0,1.33,1.35,1.37,107028600.0,1.36,1.33
20260813,600048,保利发展,106067500.0,5.29,5.45,5.52,204454500.0,5.44,5.29
20260813,600503,华丽家族,24216200.0,2.17,2.24,2.25,36408000.0,2.25,2.17
20260813,600512,腾达建设,17497300.0,2.01,2.05,2.06,34286500.0,2.06,2.01
20260813,600567,山鹰国际,61345500.0,1.35,1.37,1.38,104717800.0,1.37,1.34
20260813,600606,绿地控股,103741800.0,1.3,1.35,1.37,213743200.0,1.35,1.3
20260813,601005,重庆钢铁,35998200.0,1.19,1.22,1.24,99669700.0,1.23,1.2
