日期,股票代码,股票名称
20260903,000001,平安银行
20260903,000002,万  科Ａ
20260903,000006,深振业Ａ
20260903,000007,全新好
20260903,000008,神州高铁
20260903,000009,中国宝安
20260903,000011,深物业A
20260903,000012,南  玻Ａ
20260903,000014,沙河股份
20260903,000017,深中华A
20260903,000019,深粮控股
20260903,000020,深华发Ａ
20260903,000021,深科技
20260903,000025,特  力Ａ
20260903,000026,飞亚达
20260903,000027,深圳能源
20260903,000028,国药一致
20260903,000029,深深房Ａ
20260903,000030,富奥股份
20260903,000031,大悦城
20260903,000032,深桑达Ａ
20260903,000034,神州数码
20260903,000035,中国天楹
20260903,000036,华联控股
20260903,000037,深南电A
20260903,000039,中集集团
20260903,000042,中洲控股
20260903,000045,深纺织Ａ
20260903,000048,京基智农
20260903,000049,德赛电池
20260903,000050,深天马Ａ
20260903,000055,方大集团
20260903,000058,深 赛 格
20260903,000059,华锦股份
20260903,000060,中金岭南
20260903,000061,农 产 品
20260903,000062,深圳华强
20260903,000063,中兴通讯
20260903,000065,北方国际
20260903,000066,中国长城
20260903,000068,华控赛格
20260903,000069,华侨城Ａ
20260903,000070,特发信息
20260903,000088,盐 田 港
20260903,000089,深圳机场
20260903,000090,天健集团
20260903,000096,广聚能源
20260903,000099,中信海直
20260903,000100,TCL科技
20260903,000151,中成股份
20260903,000153,丰原药业
20260903,000155,川能动力
20260903,000156,华数传媒
20260903,000157,中联重科
20260903,000158,常山北明
20260903,000159,国际实业
20260903,000166,申万宏源
20260903,000301,东方盛虹
20260903,000333,美的集团
20260903,000338,潍柴动力
20260903,000400,许继电气
20260903,000401,金隅冀东
20260903,000402,金 融 街
20260903,000403,派林生物
20260903,000404,长虹华意
20260903,000407,胜利股份
20260903,000408,藏格矿业
20260903,000409,云鼎科技
20260903,000410,沈阳机床
20260903,000411,英特集团
20260903,000415,渤海租赁
20260903,000417,合百集团
20260903,000419,通程控股
20260903,000420,吉林化纤
20260903,000421,南京公用
20260903,000422,湖北宜化
20260903,000423,东阿阿胶
20260903,000425,徐工机械
20260903,000426,兴业银锡
20260903,000428,华天酒店
20260903,000429,粤高速Ａ
20260903,000430,张家界
20260903,000498,山东路桥
20260903,000501,武商集团
20260903,000503,国新健康
20260903,000504,南华生物
20260903,000505,京粮控股
20260903,000506,招金黄金
20260903,000507,珠海港
20260903,000509,华塑控股
20260903,000510,新金路
20260903,000513,丽珠集团
20260903,000514,渝 开 发
20260903,000516,国际医学
20260903,000517,荣安地产
20260903,000518,四环生物
20260903,000519,中兵红箭
20260903,000520,凤凰航运
20260903,000521,长虹美菱
20260903,000523,红棉股份
20260903,000524,岭南控股
20260903,000525,红太阳
20260903,000526,学大教育
20260903,000528,柳    工
20260903,000529,广弘控股
20260903,000530,冰山冷热
20260903,000531,穗恒运Ａ
20260903,000532,华金资本
20260903,000533,顺钠股份
20260903,000534,万泽股份
20260903,000536,华映科技
20260903,000537,绿发电力
20260903,000538,云南白药
20260903,000539,粤电力Ａ
20260903,000541,佛山照明
20260903,000543,皖能电力
20260903,000544,中原环保
20260903,000545,金浦钛业
20260903,000546,金圆股份
20260903,000547,航天发展
20260903,000548,湖南投资
20260903,000550,江铃汽车
20260903,000551,创元科技
20260903,000552,甘肃能化
20260903,000553,安道麦A
20260903,000554,泰山石油
20260903,000555,神州信息
20260903,000557,西部创业
20260903,000558,天府文旅
20260903,000559,万向钱潮
20260903,000560,我爱我家
20260903,000561,烽火电子
20260903,000563,陕国投Ａ
20260903,000564,供销大集
20260903,000565,渝三峡Ａ
20260903,000566,海南海药
20260903,000567,海德股份
20260903,000568,泸州老窖
20260903,000570,苏常柴Ａ
20260903,000571,新大洲A
20260903,000572,海马汽车
20260903,000573,粤宏远Ａ
20260903,000576,甘化科工
20260903,000581,威孚高科
20260903,000582,北部湾港
20260903,000586,汇源通信
20260903,000589,贵州轮胎
20260903,000590,古汉医药
20260903,000591,太阳能
20260903,000592,平潭发展
20260903,000593,德龙汇能
20260903,000595,新能股份
20260903,000596,古井贡酒
20260903,000597,东北制药
20260903,000598,兴蓉环境
20260903,000599,青岛双星
20260903,000600,建投能源
20260903,000601,韶能股份
20260903,000603,盛达资源
20260903,000605,渤海股份
20260903,000607,华媒控股
20260903,000608,阳光股份
20260903,000612,焦作万方
20260903,000617,中油资本
20260903,000619,海螺新材
20260903,000620,盈新发展
20260903,000623,吉林敖东
20260903,000625,长安汽车
20260903,000626,远大控股
20260903,000628,高新发展
20260903,000629,钒钛股份
20260903,000630,铜陵有色
20260903,000631,顺发恒能
20260903,000633,合金投资
20260903,000635,英 力 特
20260903,000636,风华高科
20260903,000637,茂化实华
20260903,000650,仁和药业
20260903,000651,格力电器
20260903,000652,泰达股份
20260903,000655,金岭矿业
20260903,000656,金科股份
20260903,000657,中钨高新
20260903,000659,珠海中富
20260903,000661,长春高新
20260903,000663,永安林业
20260903,000665,湖北广电
20260903,000668,荣丰控股
20260903,000670,盈方微
20260903,000672,上峰材料
20260903,000676,智度股份
20260903,000678,襄阳轴承
20260903,000679,大连友谊
20260903,000680,山推股份
20260903,000681,视觉中国
20260903,000682,东方电子
20260903,000683,博源化工
20260903,000685,中山公用
20260903,000686,东北证券
20260903,000688,国城矿业
20260903,000690,宝新能源
20260903,000691,亚太实业
20260903,000692,惠天热电
20260903,000695,滨海能源
20260903,000697,炼石航空
20260903,000700,模塑科技
20260903,000701,厦门信达
20260903,000702,正虹科技
20260903,000703,恒逸石化
20260903,000705,浙江震元
20260903,000707,双环科技
20260903,000708,中信特钢
20260903,000709,河钢股份
20260903,000710,贝瑞基因
20260903,000711,京蓝科技
20260903,000712,锦龙股份
20260903,000713,国投丰乐
20260903,000715,中兴商业
20260903,000716,黑芝麻
20260903,000717,中南股份
20260903,000718,苏宁环球
20260903,000719,中原传媒
20260903,000720,新能泰山
20260903,000721,西安饮食
20260903,000722,湖南发展
20260903,000723,美锦能源
20260903,000725,京东方Ａ
20260903,000726,鲁  泰Ａ
20260903,000727,冠捷科技
20260903,000728,国元证券
20260903,000729,燕京啤酒
20260903,000731,四川美丰
20260903,000733,振华科技
20260903,000735,罗 牛 山
20260903,000736,中交发展
20260903,000737,北方铜业
20260903,000738,航发控制
20260903,000739,普洛药业
20260903,000750,国海证券
20260903,000751,锌业股份
20260903,000753,漳州发展
20260903,000755,山西高速
20260903,000756,新华制药
20260903,000757,浩物股份
20260903,000758,中色股份
20260903,000759,中百集团
20260903,000761,本钢板材
20260903,000762,西藏矿业
20260903,000766,通化金马
20260903,000767,晋控电力
20260903,000768,中航西飞
20260903,000776,广发证券
20260903,000777,中核科技
20260903,000778,新兴铸管
20260903,000779,甘咨询
20260903,000782,恒申新材
20260903,000783,长江证券
20260903,000785,居然智家
20260903,000786,北新建材
20260903,000788,北大医药
20260903,000789,万年青
20260903,000790,华神科技
20260903,000791,甘肃能源
20260903,000792,盐湖股份
20260903,000795,英洛华
20260903,000796,凯撒旅业
20260903,000797,中国武夷
20260903,000798,中水渔业
20260903,000799,酒鬼酒
20260903,000800,一汽解放
20260903,000801,四川九洲
20260903,000802,北京文化
20260903,000803,山高环能
20260903,000807,云铝股份
20260903,000809,和展能源
20260903,000810,创维数字
20260903,000811,冰轮环境
20260903,000812,陕西金叶
20260903,000813,德展健康
20260903,000815,美利云
20260903,000816,智慧农业
20260903,000818,航锦科技
20260903,000819,岳阳兴长
20260903,000820,神雾节能
20260903,000822,山东海化
20260903,000823,超声电子
20260903,000825,太钢不锈
20260903,000828,东莞控股
20260903,000829,天音控股
20260903,000830,鲁西化工
20260903,000831,中国稀土
20260903,000833,粤桂股份
20260903,000837,秦川机床
20260903,000839,国安股份
20260903,000848,承德露露
20260903,000850,华茂股份
20260903,000852,石化机械
20260903,000856,冀东装备
20260903,000858,五 粮 液
20260903,000859,国风新材
20260903,000860,顺鑫农业
20260903,000862,银星能源
20260903,000863,三湘印象
20260903,000868,安凯客车
20260903,000869,张  裕Ａ
20260903,000875,电投绿能
20260903,000876,新 希 望
20260903,000877,天山股份
20260903,000878,云南铜业
20260903,000880,潍柴重机
20260903,000881,中广核技
20260903,000882,华联股份
20260903,000883,湖北能源
20260903,000885,城发环境
20260903,000886,海南高速
20260903,000887,中鼎股份
20260903,000888,峨眉山Ａ
20260903,000889,中嘉博创
20260903,000890,法尔胜
20260903,000892,欢瑞世纪
20260903,000893,亚钾国际
20260903,000895,双汇发展
20260903,000897,津滨发展
20260903,000898,鞍钢股份
20260903,000899,赣能股份
20260903,000900,现代投资
20260903,000901,航天科技
20260903,000902,新洋丰
20260903,000905,厦门港务
20260903,000906,浙商中拓
20260903,000908,石药景峰
20260903,000910,大亚圣象
20260903,000912,泸天化
20260903,000913,钱江摩托
20260903,000915,华特达因
20260903,000917,电广传媒
20260903,000919,金陵药业
20260903,000920,沃顿科技
20260903,000921,海信家电
20260903,000922,佳电股份
