形态日期,股票代码,股票名称,D0(0209)成交量(股),D1(0210)开盘价,D1(0210)收盘价,D1(0210)最高价,D1(0210)成交量(股),D2(0211)最高价,D2(0211)最低价
20260211,002210,飞马国际,47504800.0,3.2,3.31,3.38,172605600.0,3.3,3.2
20260211,002662,峰璟股份,26713900.0,4.2,4.28,4.3,43291500.0,4.27,4.21
20260211,600576,祥源文旅,18034900.0,6.75,6.99,7.02,35970800.0,6.99,6.74
20260211,600881,亚泰集团,26103900.0,1.82,1.83,1.85,40963600.0,1.84,1.81
20260211,600936,北投科技,31671700.0,4.43,4.52,4.57,48993000.0,4.52,4.43
20260211,601801,皖新传媒,15105000.0,7.02,7.17,7.21,30012800.0,7.17,7.02
