形态日期,股票代码,股票名称,D0(1202)成交量(股),D1(1203)开盘价,D1(1203)收盘价,D1(1203)最高价,D1(1203)成交量(股),D2(1204)最高价,D2(1204)最低价
20251204,000068,华控赛格,13120000.0,3.74,3.87,4.07,54968200.0,3.88,3.75
20251204,000785,居然智家,93112600.0,3.05,3.14,3.21,186023700.0,3.14,3.05
20251204,000883,湖北能源,12236100.0,4.64,4.68,4.7,29410600.0,4.69,4.63
20251204,000900,现代投资,10788800.0,4.31,4.36,4.37,16314800.0,4.36,4.3
20251204,002225,濮耐股份,20832700.0,5.78,5.94,6.08,55222800.0,5.94,5.79
20251204,300534,陇神戎发,12127500.0,10.5,10.78,10.82,28584200.0,10.78,10.5
20251204,600252,中恒集团,82643100.0,2.94,3.01,3.1,169027300.0,3.0,2.93
20251204,600575,淮河能源,25227900.0,3.6,3.63,3.65,47763700.0,3.64,3.59
20251204,600905,三峡能源,49369900.0,4.18,4.19,4.2,75465200.0,4.2,4.18
20251204,601860,紫金银行,17600600.0,2.8,2.81,2.83,39233000.0,2.82,2.79
