形态日期,股票代码,股票名称,D0(0915)成交量(股),D1(0916)开盘价,D1(0916)收盘价,D1(0916)最高价,D1(0916)成交量(股),D2(0917)最高价,D2(0917)最低价
20250917,000546,金圆股份,16388500.0,5.13,5.25,5.32,36737100.0,5.25,5.14
20250917,000886,海南高速,16149500.0,6.63,6.77,6.79,29922400.0,6.76,6.64
20250917,001391,国货航,16124000.0,6.74,6.81,6.83,41201000.0,6.81,6.75
20250917,002076,星光股份,32533100.0,1.93,1.97,1.99,53400200.0,1.98,1.93
20250917,002094,青岛金王,21565600.0,8.35,8.47,8.56,32658500.0,8.48,8.35
20250917,002404,嘉欣丝绸,4896400.0,6.42,6.51,6.53,9929400.0,6.52,6.43
20250917,002596,海南瑞泽,35174600.0,3.74,3.83,3.86,54174700.0,3.83,3.73
20250917,300272,开能健康,6203400.0,6.65,6.77,6.79,13205500.0,6.76,6.66
20250917,600396,华电辽能,16728200.0,3.28,3.33,3.34,26406100.0,3.34,3.28
20250917,600755,厦门国贸,12146000.0,6.15,6.17,6.18,19697600.0,6.18,6.14
20250917,600981,苏豪汇鸿,20080200.0,3.17,3.27,3.29,39417100.0,3.26,3.18
