形态日期,股票代码,股票名称,D0(1107)成交量(股),D1(1110)开盘价,D1(1110)收盘价,D1(1110)最高价,D1(1110)成交量(股),D2(1111)最高价,D2(1111)最低价
20251111,000623,吉林敖东,10075100.0,21.17,21.48,21.59,16346200.0,21.47,21.18
20251111,002103,广博股份,5245000.0,9.71,9.9,9.96,11585800.0,9.91,9.71
20251111,002936,郑州银行,62759900.0,2.02,2.04,2.05,114904400.0,2.05,2.03
20251111,300614,百川畅银,2147800.0,14.29,14.8,14.89,3394000.0,14.8,14.3
20251111,600177,雅戈尔,12378200.0,7.62,7.69,7.7,19337300.0,7.7,7.61
20251111,603313,梦百合,8861800.0,9.22,9.41,9.42,13535300.0,9.42,9.23
