形态日期,股票代码,股票名称,D0(0106)成交量(股),D1(0107)开盘价,D1(0107)收盘价,D1(0107)最高价,D1(0107)成交量(股),D2(0108)最高价,D2(0108)最低价
20260108,002626,金达威,7463000.0,20.02,20.24,20.38,11528200.0,20.24,20.01
20260108,002826,易明医药,3518800.0,18.35,18.66,19.37,5396300.0,18.66,18.36
20260108,600382,广东明珠,12292100.0,7.34,7.52,7.54,20066900.0,7.52,7.35
20260108,600925,苏能股份,7120200.0,4.59,4.63,4.64,14594300.0,4.64,4.6
20260108,601107,四川成渝,8657800.0,6.08,6.21,6.25,14800800.0,6.2,6.08
20260108,603210,泰鸿万立,2333200.0,19.78,20.0,20.24,4170900.0,20.0,19.78
