形态日期,股票代码,股票名称,D0(1028)成交量(股),D1(1029)开盘价,D1(1029)收盘价,D1(1029)最高价,D1(1029)成交量(股),D2(1030)最高价,D2(1030)最低价
20251030,000750,国海证券,77657700.0,4.56,4.66,4.67,178154300.0,4.65,4.57
20251030,002356,鹏飞绿能,23116000.0,3.48,3.63,3.75,63686500.0,3.62,3.48
20251030,002470,金正大,41555100.0,1.78,1.82,1.84,85980000.0,1.82,1.78
20251030,002535,林州重机,12261100.0,4.02,4.09,4.15,29389200.0,4.1,4.02
20251030,002673,西部证券,30697000.0,8.59,8.75,8.78,69986100.0,8.75,8.59
20251030,300423,昇辉科技,13043300.0,7.59,7.88,8.09,30982000.0,7.89,7.59
20251030,600281,华阳新材,8207200.0,6.2,6.31,6.32,15940700.0,6.3,6.2
20251030,600918,中泰证券,22774700.0,6.96,7.06,7.08,36560000.0,7.06,6.97
20251030,600971,恒源煤电,17852500.0,7.18,7.36,7.38,27402400.0,7.36,7.17
20251030,601222,林洋能源,21003700.0,5.9,5.97,5.98,32692100.0,5.96,5.9
20251030,601375,中原证券,33563000.0,4.59,4.67,4.68,73019800.0,4.67,4.6
20251030,601878,浙商证券,33544200.0,11.65,11.82,11.87,59291600.0,11.81,11.64
20251030,601990,南京证券,16311300.0,8.5,8.61,8.62,30531700.0,8.61,8.51
