形态日期,股票代码,股票名称,D0(1113)成交量(股),D1(1114)开盘价,D1(1114)收盘价,D1(1114)最高价,D1(1114)成交量(股),D2(1117)最高价,D2(1117)最低价
20251117,000088,盐 田 港,29442200.0,4.63,4.67,4.7,45465300.0,4.68,4.62
20251117,001356,富岭股份,3259700.0,14.33,14.44,14.54,6297100.0,14.45,14.32
20251117,002936,郑州银行,133933800.0,2.05,2.07,2.1,222720200.0,2.08,2.05
20251117,301020,密封科技,1280100.0,23.43,23.89,24.3,4345600.0,23.89,23.42
20251117,600368,五洲交通,17743100.0,4.34,4.39,4.44,49390900.0,4.4,4.35
20251117,600396,华电辽能,13772700.0,3.28,3.33,3.35,29904500.0,3.34,3.27
20251117,600664,哈药股份,49401800.0,3.79,3.89,3.99,140876600.0,3.9,3.8
20251117,603318,水发燃气,11004600.0,7.45,7.61,7.68,18204800.0,7.62,7.46
