形态日期,股票代码,股票名称,D0(1205)成交量(股),D1(1208)开盘价,D1(1208)收盘价,D1(1208)最高价,D1(1208)成交量(股),D2(1209)最高价,D2(1209)最低价
20251209,000686,东北证券,87351200.0,9.36,9.61,10.09,154397300.0,9.6,9.36
20251209,000890,法尔胜,10391000.0,4.43,4.56,4.87,40111200.0,4.56,4.43
20251209,002942,新农股份,1793500.0,20.9,21.34,21.38,3028300.0,21.34,20.89
20251209,003015,日久光电,3868300.0,16.21,16.48,16.83,9972400.0,16.47,16.2
20251209,300420,五洋自控,25703400.0,4.15,4.25,4.28,45360000.0,4.24,4.14
20251209,600100,同方股份,60215500.0,8.95,9.18,9.2,96841000.0,9.17,8.96
20251209,601108,财通证券,43486400.0,8.41,8.53,8.66,99523000.0,8.52,8.42
