形态日期,股票代码,股票名称,D0(0105)成交量(股),D1(0106)开盘价,D1(0106)收盘价,D1(0106)最高价,D1(0106)成交量(股),D2(0107)最高价,D2(0107)最低价
20260107,001227,兰州银行,29016200.0,2.33,2.34,2.35,55105800.0,2.35,2.32
20260107,001236,弘业期货,9805200.0,10.65,10.96,11.01,20945900.0,10.95,10.66
20260107,002239,奥特佳,69165500.0,3.0,3.07,3.09,128582800.0,3.08,3.0
20260107,002269,美邦服饰,70706100.0,1.91,1.95,1.96,106414400.0,1.96,1.91
20260107,002855,捷荣技术,2574200.0,16.61,16.88,16.9,4931300.0,16.87,16.61
20260107,300088,长信科技,55313800.0,6.12,6.24,6.29,84621900.0,6.24,6.13
20260107,600149,廊坊发展,7976600.0,5.02,5.19,5.24,12481900.0,5.2,5.03
20260107,600227,赤天化,22732500.0,2.42,2.48,2.49,35979800.0,2.49,2.43
20260107,600495,晋西车轴,10905400.0,4.84,4.96,5.02,26573200.0,4.95,4.85
20260107,600512,腾达建设,15596800.0,2.44,2.46,2.48,24637600.0,2.47,2.43
20260107,600527,江南高纤,30798900.0,2.16,2.2,2.21,53676500.0,2.21,2.16
20260107,600653,申华控股,12979900.0,1.92,1.94,1.95,23258700.0,1.95,1.92
20260107,600715,文投控股,33279900.0,2.19,2.24,2.25,53851500.0,2.25,2.19
20260107,601868,中国能建,204978900.0,2.36,2.37,2.38,309371300.0,2.38,2.36
