形态日期,股票代码,股票名称,D0(0722)成交量(股),D1(0723)开盘价,D1(0723)收盘价,D1(0723)最高价,D1(0723)成交量(股),D2(0724)最高价,D2(0724)最低价
20260724,000545,金浦钛业,21835400.0,2.37,2.47,2.48,42416200.0,2.47,2.37
20260724,000629,钒钛股份,85069300.0,3.02,3.14,3.16,136728900.0,3.13,3.02
20260724,002021,中捷资源,18070600.0,2.19,2.27,2.29,28253900.0,2.27,2.2
20260724,002356,鹏飞绿能,10592500.0,2.49,2.58,2.61,24175900.0,2.58,2.5
20260724,002530,金财互联,10226100.0,6.54,6.81,6.82,16817800.0,6.81,6.54
20260724,300798,锦鸡股份,10842900.0,5.97,6.29,6.33,16922200.0,6.3,5.98
20260724,600010,包钢股份,295096600.0,2.16,2.22,2.24,501837100.0,2.21,2.16
20260724,600166,福田汽车,144125700.0,2.95,3.14,3.15,216826200.0,3.14,2.94
20260724,600313,农发种业,20595500.0,5.4,5.66,5.68,38635900.0,5.65,5.39
20260724,600751,海航科技,25743500.0,2.87,3.02,3.04,42377500.0,3.03,2.87
20260724,600935,华塑股份,8882800.0,2.21,2.26,2.27,17726900.0,2.26,2.21
20260724,601828,美凯龙,24668900.0,2.13,2.15,2.16,38290400.0,2.16,2.12
