形态日期,股票代码,股票名称,D0(0407)成交量(股),D1(0408)开盘价,D1(0408)收盘价,D1(0408)最高价,D1(0408)成交量(股),D2(0409)最高价,D2(0409)最低价
20260409,000031,大悦城,13372200.0,2.88,2.95,2.97,20729000.0,2.95,2.88
20260409,000069,华侨城Ａ,25039800.0,2.19,2.24,2.25,52936100.0,2.23,2.18
20260409,000100,TCL科技,201792800.0,4.25,4.31,4.32,463759100.0,4.3,4.24
20260409,000157,中联重科,63259500.0,8.65,8.84,8.88,110049400.0,8.84,8.65
20260409,000402,金 融 街,10082300.0,2.51,2.56,2.57,15630800.0,2.56,2.51
20260409,000725,京东方Ａ,346529600.0,3.98,4.03,4.04,579090500.0,4.03,3.97
20260409,000785,居然智家,33721900.0,2.39,2.45,2.46,55385300.0,2.45,2.38
20260409,000898,鞍钢股份,26226500.0,2.34,2.39,2.4,46883400.0,2.39,2.34
20260409,001306,夏厦精密,425500.0,67.02,68.4,68.5,797700.0,68.4,67.02
20260409,002110,三钢闽光,13297900.0,3.83,3.92,3.93,20531300.0,3.92,3.82
20260409,300587,天铁科技,16452900.0,5.2,5.43,5.45,25504200.0,5.42,5.21
20260409,600117,西宁特钢,9937100.0,2.58,2.63,2.64,15282900.0,2.62,2.57
20260409,600567,山鹰国际,29163300.0,1.54,1.56,1.57,91662500.0,1.56,1.53
20260409,600963,岳阳林纸,17210800.0,4.78,4.87,4.91,27815900.0,4.86,4.77
20260409,601880,辽港股份,96004200.0,1.65,1.67,1.68,177368700.0,1.68,1.64
20260409,603111,康尼机电,4175100.0,6.66,6.76,6.78,7454600.0,6.75,6.65
20260409,603202,天有为,663700.0,95.0,96.59,96.67,2604100.0,96.6,95.0
20260409,603336,宏辉果蔬,5434100.0,9.13,9.38,9.45,11879000.0,9.37,9.12
