形态日期,股票代码,股票名称,D0(1225)成交量(股),D1(1226)开盘价,D1(1226)收盘价,D1(1226)最高价,D1(1226)成交量(股),D2(1229)最高价,D2(1229)最低价
20251229,000157,中联重科,30679800.0,8.41,8.57,8.58,47977000.0,8.58,8.42
20251229,002470,金正大,23141800.0,1.78,1.79,1.81,46551500.0,1.8,1.77
20251229,002693,双成药业,7696500.0,7.06,7.2,7.38,11782600.0,7.2,7.05
20251229,300107,建新股份,3264200.0,6.87,7.05,7.31,18073600.0,7.05,6.86
20251229,600127,金健米业,12293000.0,6.81,6.92,6.95,18986300.0,6.92,6.8
20251229,600278,东方创业,4957700.0,7.61,7.77,7.88,10289100.0,7.77,7.62
20251229,600368,五洲交通,31034800.0,3.98,4.09,4.13,48595000.0,4.09,3.99
20251229,600470,六国化工,11779100.0,6.13,6.27,6.32,20514300.0,6.28,6.12
20251229,601099,太平洋,82916000.0,4.14,4.17,4.22,156177200.0,4.18,4.14
20251229,603077,和邦生物,108857200.0,2.25,2.31,2.32,205517300.0,2.31,2.26
