形态日期,股票代码,股票名称,D0(1224)成交量(股),D1(1225)开盘价,D1(1225)收盘价,D1(1225)最高价,D1(1225)成交量(股),D2(1226)最高价,D2(1226)最低价
20251226,000620,盈新发展,197096200.0,2.74,2.87,3.01,522905700.0,2.87,2.75
20251226,000789,万年青,4141100.0,5.36,5.43,5.54,8787200.0,5.43,5.36
20251226,002148,北纬科技,7478800.0,8.52,8.64,8.69,14027200.0,8.65,8.51
20251226,002301,齐心集团,23116000.0,7.53,7.8,7.88,42648800.0,7.8,7.53
20251226,002526,山东矿机,18085300.0,3.53,3.61,3.63,36859900.0,3.6,3.54
20251226,002707,众信旅游,26666500.0,7.15,7.31,7.39,40250800.0,7.3,7.16
20251226,600512,腾达建设,12172600.0,2.43,2.45,2.46,20303400.0,2.46,2.42
20251226,600681,百川能源,23424500.0,4.09,4.19,4.22,47308700.0,4.18,4.09
20251226,600787,中储股份,11516700.0,5.7,5.74,5.77,18956100.0,5.75,5.7
20251226,603393,新天然气,2186200.0,26.92,27.25,27.28,3637700.0,27.25,26.92
20251226,603666,亿嘉和,2106000.0,29.7,30.4,30.71,4991300.0,30.4,29.7
