形态日期,股票代码,股票名称,D0(0415)成交量(股),D1(0416)开盘价,D1(0416)收盘价,D1(0416)最高价,D1(0416)成交量(股),D2(0417)最高价,D2(0417)最低价
20260417,000558,天府文旅,25759900.0,4.43,4.58,4.59,44932700.0,4.58,4.43
20260417,000607,华媒控股,9959200.0,4.0,4.09,4.12,16199800.0,4.1,3.99
20260417,000625,长安汽车,33445300.0,10.03,10.15,10.33,121600800.0,10.15,10.03
20260417,002374,中锐股份,11688800.0,3.16,3.22,3.23,17658100.0,3.22,3.16
20260417,300160,秀强股份,5639600.0,5.39,5.5,5.52,8992000.0,5.49,5.38
20260417,600212,绿能慧充,15668800.0,7.87,8.12,8.25,35570000.0,8.13,7.87
20260417,605337,李子园,2261300.0,10.93,11.11,11.13,4010700.0,11.11,10.94
