形态日期,股票代码,股票名称,D0(0508)成交量(股),D1(0511)开盘价,D1(0511)收盘价,D1(0511)最高价,D1(0511)成交量(股),D2(0512)最高价,D2(0512)最低价
20260512,000401,金隅冀东,13145300.0,4.28,4.37,4.4,21296200.0,4.36,4.28
20260512,000597,东北制药,11771700.0,4.96,5.06,5.07,19786000.0,5.05,4.97
20260512,300015,爱尔眼科,67820900.0,10.54,10.71,10.76,117331500.0,10.71,10.53
20260512,300575,中旗股份,10176600.0,6.65,6.87,7.02,22103100.0,6.88,6.65
20260512,300665,飞鹿股份,9517600.0,9.09,9.33,9.4,15584800.0,9.33,9.08
20260512,603998,方盛制药,6694900.0,10.94,11.27,11.33,12502300.0,11.28,10.93
